sharpness,luminance,information,corfulnessss,class
0.4763,0.456,5.313,18.1591,normal
0.5252,0.4698,5.2548,21.5738,normal
0.4359,0.4665,5.2731,21.1508,normal
0.5062,0.4726,5.3042,22.5225,normal
0.4495,0.4616,5.3017,16.9231,normal
0.4739,0.4548,5.2673,28.7363,normal
0.4983,0.4932,5.0609,6.713,normal
0.6404,0.491,5.0528,5.5699,normal
0.4435,0.5042,5.0964,6.7816,normal
0.4569,0.472,5.4071,8.0573,normal
0.3954,0.4798,5.4099,6.605,normal
0.6005,0.1782,5.1551,10.274,normal
0.5995,0.174,5.1551,9.7242,normal
0.689,0.1581,5.3651,39.2966,normal
0.5869,0.4712,5.244,41.5753,normal
0.3274,0.4812,4.8546,48.3989,normal
0.3341,0.49,5.1228,42.9768,normal
0.6128,0.435,4.7476,15.7637,normal
0.5345,0.4249,4.5843,14.1272,normal
0.6648,0.1784,4.8242,18.6091,normal
0.8585,0.4853,5.143,22.2031,normal
0.824,0.1857,4.5997,48.7114,normal
0.8231,0.1815,4.6342,44.0178,normal
0.8111,0.4515,5.144,9.4312,normal
0.8002,0.4555,5.191,7.2852,normal
0.782,0.4463,5.1082,7.8221,normal
0.7444,0.4497,5.0427,20.6327,normal
0.8101,0.217,5.2392,18.0226,normal
0.797,0.188,5.2815,8.8813,normal
0.7335,0.4417,5.2394,19.0629,normal
0.776,0.4389,5.2444,18.9789,normal
0.7338,0.44,5.1354,18.7212,normal
0.7101,0.4258,4.8797,4.5521,normal
0.8003,0.4316,5.0211,4.8036,normal
0.7972,0.4293,5.0468,5.1211,normal
0.7772,0.4348,5.0267,4.4101,normal
0.7883,0.4351,4.9954,4.4666,normal
0.763,0.2428,4.6367,46.6066,normal
0.7331,0.2471,4.5227,68.0525,normal
0.8226,0.4141,4.6673,7.5094,normal
0.8212,0.4058,4.7415,9.4207,normal
0.7943,0.4519,4.9416,6.758,normal
0.7475,0.2353,4.8454,6.971,normal
0.7648,0.2337,4.6843,7.3981,normal
0.7423,0.2467,4.7136,6.3851,normal
0.7592,0.1618,5.1908,21.2067,normal
0.5102,0.1642,5.221,27.2909,normal
0.6679,0.1438,5.2241,26.9274,normal
0.6021,0.1298,5.0712,29.962,normal
0.6094,0.1566,5.3087,34.6809,normal
0.5914,0.1469,5.1114,31.6988,normal
0.4419,0.1281,5.0052,32.2521,normal
0.6172,0.7507,5.1828,24.942,normal
0.5921,0.1644,5.2806,28.0269,normal
0.5022,0.5119,4.9121,13.8182,normal
0.6052,0.5281,5.0412,18.3937,normal
0.8166,0.4775,3.6492,2.6555,normal
0.6021,0.4748,4.9157,16.7683,normal
0.6162,0.4723,4.8758,22.7763,normal
0.728,0.44,5.3303,21.4602,normal
0.7473,0.402,4.9864,24.0031,normal
0.7411,0.471,5.2816,29.2454,normal
0.7496,0.4419,5.2331,17.9832,normal
0.7459,0.4855,5.3304,32.4087,normal
0.7254,0.6977,5.1278,14.7201,normal
0.7017,0.7094,5.2363,32.0824,normal
0.7254,0.5012,5.0674,23.1306,normal
0.6993,0.4515,5.3127,30.707,normal
0.7136,0.4522,5.3583,31.267,normal
0.7999,0.4627,5.1923,35.0831,normal
0.852,0.452,5.1712,14.2485,normal
0.8684,0.451,4.9694,13.5885,normal
0.8323,0.4327,5.1033,19.6307,normal
0.6917,0.6848,4.662,6.8197,normal
0.7182,0.6818,4.585,7.3289,normal
0.7119,0.6796,4.6837,6.9626,normal
0.6957,0.186,5.282,31.4464,normal
0.7041,0.1863,5.2914,30.6644,normal
0.7538,0.169,5.3634,31.6633,normal
0.7851,0.3816,4.4784,11.4292,normal
0.6117,0.2287,3.7029,16.7208,normal
0.6735,0.4452,5.1102,82.9237,normal
0.7165,0.4238,5.1598,99.7449,normal
0.6202,0.432,4.8953,66.7983,normal
0.6209,0.4508,4.9236,6.1415,normal
0.6976,0.2243,5.0693,12.0705,normal
0.7271,0.2072,5.2924,36.7873,normal
0.7112,0.7342,5.3148,42.0837,normal
0.6921,0.2316,5.2287,28.2281,normal
0.7303,0.2169,5.3077,26.3909,normal
0.7383,0.4881,5.284,27.5571,normal
0.6853,0.4625,5.2382,25.7733,normal
0.7498,0.526,4.5257,10.1655,normal
0.5253,0.6541,4.2686,10.1029,normal
0.5516,0.683,4.4498,21.2539,normal
0.641,0.4237,5.099,14.8608,normal
0.5289,0.4723,5.1486,17.2252,normal
0.8155,0.4739,5.2777,29.5487,normal
0.7788,0.4742,5.2082,24.9023,normal
0.543,0.4502,5.2479,21.5988,normal
0.5448,0.7561,5.402,19.8752,normal
0.6712,0.8406,5.3302,23.1519,normal
0.7661,0.5092,5.2697,25.34,normal
0.7586,0.5084,5.2708,25.2635,normal
0.7777,0.2107,5.017,21.5303,normal
0.6751,0.195,5.2799,20.5895,normal
0.4375,0.5011,5.1825,7.3566,normal
0.4849,0.4998,5.1288,7.7479,normal
0.5218,0.4968,5.086,7.5925,normal
0.5568,0.4971,4.9433,5.4103,normal
0.4688,0.5164,4.9887,6.1723,normal
0.7748,0.47,4.9847,14.0837,normal
0.6893,0.4606,5.2243,18.4883,normal
0.5263,0.4639,5.2935,20.2491,normal
0.4095,0.4576,5.2843,16.9027,normal
0.4961,0.4558,5.316,18.0351,normal
0.4306,0.7627,5.4008,17.3588,bright
0.4753,0.7673,5.3302,18.9947,bright
0.3824,0.7747,5.3927,19.5237,bright
0.4479,0.772,5.4375,20.8497,bright
0.4198,0.4856,5.3868,16.225,bright
0.4224,0.775,5.4367,36.2085,bright
0.4761,0.5122,5.0601,6.832,bright
0.5723,0.5141,5.11,5.9086,bright
0.445,0.4964,5.1009,6.6894,bright
0.4708,0.862,5.1744,8.4688,bright
0.3994,0.8673,5.1109,7.4447,bright
0.6014,0.176,5.1777,9.5126,bright
0.5981,0.1794,5.1958,9.6808,bright
0.6857,0.8231,5.3631,49.139,bright
0.5755,0.7969,5.2799,47.352,bright
0.3209,0.6908,4.9829,52.7996,bright
0.3203,0.7401,5.206,45.7362,bright
0.6012,0.4249,4.6748,14.4878,bright
0.5394,0.4208,4.722,16.6859,bright
0.6725,0.1828,4.8335,17.6231,bright
0.857,0.8191,5.1188,43.2834,bright
0.8276,0.8433,4.6535,73.3325,bright
0.8266,0.8516,4.6817,72.2964,bright
0.8067,0.4541,5.1816,10.3892,bright
0.7939,0.4525,5.1621,8.111,bright
0.7815,0.4526,5.1296,6.8318,bright
0.7412,0.4537,5.0205,19.4819,bright
0.8038,0.4418,5.3219,18.7873,bright
0.7918,0.8114,5.3182,10.2392,bright
0.731,0.4541,5.2253,18.7814,bright
0.7717,0.4423,5.2957,19.4667,bright
0.721,0.45,5.239,19.7419,bright
0.7123,0.4264,4.9261,6.817,bright
0.7991,0.4352,5.0577,5.4012,bright
0.793,0.4217,4.9826,6.1369,bright
0.7757,0.4441,5.0657,7.2712,bright
0.7818,0.4262,4.9426,7.0889,bright
0.7571,0.2534,4.694,53.6534,bright
0.7337,0.2391,4.4577,61.8108,bright
0.82,0.4183,4.645,7.3301,bright
0.8244,0.4184,4.7863,10.815,bright
0.7934,0.4584,4.9832,7.2245,bright
0.7401,0.2315,4.8143,7.3296,bright
0.7626,0.2304,4.6218,7.8027,bright
0.74,0.2414,4.6691,7.3867,bright
0.7786,0.8916,4.1422,25.658,bright
0.5244,0.8891,4.7407,34.9631,bright
0.6177,0.9015,4.4711,30.4349,bright
0.5519,0.8489,5.1291,36.2806,bright
0.6235,0.8804,4.8148,36.3211,bright
0.5428,0.8343,5.0325,36.992,bright
0.3158,0.8498,5.025,50.5831,bright
0.5378,0.9314,3.4195,29.2439,bright
0.5791,0.9167,4.0751,30.0819,bright
0.6799,0.9484,3.62,23.3166,bright
0.7125,0.9426,3.6219,29.2855,bright
0.8816,0.9591,2.4272,2.3945,bright
0.5574,0.9519,3.1825,14.395,bright
0.6215,0.4698,4.8472,22.5099,bright
0.6847,0.9019,4.2616,17.2009,bright
0.7378,0.9017,4.0266,19.3608,bright
0.7191,0.9417,4.0527,36.1712,bright
0.6933,0.9121,4.2235,19.4171,bright
0.7456,0.9207,3.9645,22.8786,bright
0.6717,0.9275,3.631,16.0348,bright
0.7341,0.9259,3.8156,17.7887,bright
0.6923,0.9221,3.8822,22.4468,bright
0.7005,0.9166,4.043,20.7774,bright
0.6981,0.9227,4.0272,19.173,bright
0.7772,0.9046,4.5671,22.4384,bright
0.8595,0.8953,4.3591,12.8118,bright
0.9194,0.9338,3.8212,15.3507,bright
0.9118,0.9028,4.2571,17.5943,bright
0.8434,0.9702,2.3735,5.6239,bright
0.8579,0.9687,2.2309,5.1799,bright
0.835,0.9725,2.5279,5.5543,bright
0.6877,0.9,4.3288,22.8644,bright
0.7114,0.8957,4.3727,22.7495,bright
0.7434,0.9033,4.1907,26.959,bright
0.7952,0.8438,4.4257,6.4794,bright
0.7584,0.8479,3.5305,11.2761,bright
0.7111,0.9093,4.3276,60.5909,bright
0.6541,0.912,4.2838,55.6866,bright
