sharpness,luminance,information,colorfulness,class
0.7592,0.3003,5.1931,21.2067,normal
0.5102,0.3377,5.219,27.2909,normal
0.6679,0.3256,5.2233,26.9274,normal
0.6021,0.3,5.0725,29.962,normal
0.6094,0.3341,5.3093,34.6809,normal
0.5914,0.2834,5.1128,31.6988,normal
0.4419,0.2791,5.0087,32.2521,normal
0.6172,0.75,5.1827,24.942,normal
0.5921,0.3372,5.2809,28.0269,normal
0.5022,0.4562,4.9109,13.8182,normal
0.6052,0.4248,5.0427,18.3937,normal
0.8166,0.4725,3.6882,2.6555,normal
0.6021,0.4161,4.9158,16.7683,normal
0.6162,0.3588,4.8729,22.7763,normal
0.728,0.3882,5.3268,21.4602,normal
0.7473,0.3663,4.9844,24.0031,normal
0.7411,0.4271,5.2743,29.2454,normal
0.7496,0.3944,5.2418,17.9832,normal
0.7459,0.398,5.3309,32.4087,normal
0.7254,0.3538,5.1266,14.7201,normal
0.7017,0.378,5.2367,32.0824,normal
0.7254,0.4196,5.0669,23.1306,normal
0.6993,0.3988,5.3016,30.707,normal
0.7136,0.3942,5.351,31.267,normal
0.7999,0.3984,5.1931,35.0831,normal
0.852,0.3632,5.1611,14.2485,normal
0.8684,0.4133,4.9702,13.5885,normal
0.8323,0.3641,5.0901,19.6307,normal
0.6917,0.6843,4.6623,6.8197,normal
0.7182,0.6808,4.5882,7.3289,normal
0.7119,0.679,4.6836,6.9626,normal
0.6957,0.36,5.2817,31.4464,normal
0.7041,0.3484,5.2866,30.6644,normal
0.7538,0.3122,5.3714,31.6633,normal
0.7851,0.3422,4.4702,11.4292,normal
0.6117,0.2417,3.6517,16.7208,normal
0.6735,0.3901,5.1079,82.9237,normal
0.7165,0.3791,5.1592,99.7449,normal
0.6202,0.3934,4.8933,66.7983,normal
0.6209,0.4171,4.923,6.1415,normal
0.6976,0.3199,5.064,12.0705,normal
0.7271,0.3035,5.2926,36.7873,normal
0.7112,0.3525,5.3142,42.0837,normal
0.6921,0.3033,5.2298,28.2281,normal
0.7303,0.3451,5.3075,26.3909,normal
0.7383,0.3826,5.2832,27.5571,normal
0.6853,0.3799,5.2378,25.7733,normal
0.7498,0.5127,4.5239,10.1655,normal
0.5253,0.654,4.2883,10.1029,normal
0.5516,0.6831,4.4599,21.2539,normal
0.641,0.3634,5.0959,14.8608,normal
0.5289,0.4489,5.1463,17.2252,normal
0.8155,0.3929,5.2776,29.5487,normal
0.7788,0.4131,5.2076,24.9023,normal
0.543,0.4083,5.2469,21.5988,normal
0.5448,0.3828,5.3996,19.8752,normal
0.6712,0.3304,5.321,23.1519,normal
0.7661,0.4216,5.2701,25.34,normal
0.7586,0.4198,5.2709,25.2635,normal
0.7777,0.3147,5.0015,21.5303,normal
0.6751,0.3284,5.2789,20.5895,normal
0.0917,0.2966,5.1504,20.2758,normal
0.0797,0.3345,5.1889,26.0567,normal
0.2651,0.3158,5.1895,26.5177,normal
0.4796,0.2891,5.0146,29.5802,normal
0.4144,0.3157,5.2556,34.2057,normal
0.3283,0.2789,5.06,31.2928,normal
0.0808,0.7472,5.1646,24.3989,normal
0.0926,0.3355,5.2625,27.2748,normal
0.1135,0.4576,4.8769,13.182,normal
0.106,0.4242,5.0244,17.7169,normal
0.0832,0.4728,3.6895,2.4837,normal
0.0525,0.4126,4.8841,16.0524,normal
0.2216,0.3672,4.831,22.1977,normal
0.1508,0.3859,5.2957,20.732,normal
0.1657,0.3661,4.9388,23.8064,normal
0.1752,0.4262,5.2627,28.2742,normal
0.1825,0.3946,5.1923,17.0917,normal
0.2152,0.3942,5.2944,32.1387,normal
0.1216,0.3539,5.101,14.0788,normal
0.1755,0.3843,5.1874,30.7957,normal
0.1985,0.417,5.0347,22.2489,normal
0.1592,0.3987,5.2909,28.7884,normal
0.1515,0.3933,5.3434,29.6333,normal
0.1729,0.3972,5.1844,34.1859,normal
0.6799,0.3622,5.1437,13.4639,normal
0.5703,0.4217,4.8163,12.7788,normal
0.4767,0.3702,5.0867,18.5445,normal
0.1134,0.683,4.6405,6.7253,normal
0.1205,0.6788,4.5678,7.2464,normal
0.114,0.6774,4.663,6.8714,normal
0.1627,0.3599,5.2452,30.7456,normal
0.1574,0.3506,5.2598,29.8879,normal
0.1446,0.3215,5.3479,30.7532,normal
0.1768,0.342,4.4695,10.9877,normal
0.0924,0.2435,3.6787,16.3134,normal
0.1078,0.3887,5.0818,81.9714,normal
0.0658,0.3784,5.1283,98.625,normal
0.1939,0.3929,4.8765,66.2078,normal
0.1961,0.4177,4.9135,5.944,normal
0.1515,0.3197,5.0593,11.8211,normal
0.1609,0.306,5.261,36.433,normal
0.1408,0.354,5.2997,41.8524,normal
0.1569,0.3075,5.205,27.8163,normal
0.139,0.3493,5.259,25.7102,normal
0.1436,0.3838,5.2368,27.0486,normal
0.1029,0.3886,5.192,25.0809,normal
0.4241,0.5102,4.521,9.6031,normal
0.1302,0.6539,4.295,8.8674,normal
0.1391,0.6833,4.4577,19.8057,normal
0.12,0.3616,5.0894,14.4464,normal
0.0717,0.4458,5.1343,16.9833,normal
0.2647,0.3974,5.1967,28.4166,normal
0.2324,0.4177,5.11,23.7311,normal
0.1496,0.4098,5.1135,20.1527,normal
0.1216,0.3801,5.2871,18.5407,normal
0.1504,0.3362,5.3211,21.4952,normal
0.2232,0.4251,5.2166,24.2284,normal
0.2193,0.4237,5.2181,24.1551,normal
0.1704,0.3243,4.9932,20.0635,normal
0.1507,0.3286,5.1996,19.0215,normal
0.0523,0.3006,5.1473,19.5331,normal
0.0198,0.3359,5.1638,24.9025,normal
0.0324,0.3162,5.1738,26.0752,normal
0.1974,0.2885,4.9959,29.2111,normal
0.2482,0.3139,5.2286,33.7829,normal
0.2246,0.2793,5.0391,30.8962,normal
0.0346,0.7449,5.1507,23.9412,normal
0.0368,0.3359,5.2535,26.6755,normal
0.0475,0.4584,4.8645,12.5443,normal
0.0736,0.4233,5.0248,17.1673,normal
0.0053,0.4729,3.6909,2.3025,normal
0.0093,0.4103,4.8766,15.4859,normal
0.2435,0.3706,4.7872,21.6525,normal
0.078,0.3842,5.2761,20.2911,normal
0.1017,0.3656,4.9124,23.6733,normal
0.1038,0.4254,5.2645,27.6298,normal
0.1223,0.3934,5.1647,16.5177,normal
0.1584,0.3956,5.272,32.0135,normal
0.0634,0.3544,5.0934,13.6161,normal
0.141,0.3876,5.1611,29.8969,normal
0.1631,0.4173,5.0195,21.7459,normal
0.1165,0.3978,5.2911,27.7826,normal
0.1333,0.3927,5.3447,28.813,normal
0.0311,0.3971,5.2016,33.5536,normal
0.6197,0.3621,5.141,13.0449,normal
0.6167,0.424,4.7281,12.1053,normal
0.5904,0.3724,5.0622,17.8409,normal
0.053,0.6817,4.6279,6.6444,normal
0.0696,0.677,4.5552,7.1763,normal
0.0644,0.6758,4.6518,6.7987,normal
0.1088,0.3617,5.2339,30.3839,normal
0.082,0.3523,5.2585,29.4695,normal
0.0787,0.3273,5.3379,30.3233,normal
0.1158,0.3417,4.4693,10.6944,normal
0.0284,0.2461,3.7262,16.0305,normal
0.1047,0.3882,5.0674,81.2102,normal
0.0849,0.3779,5.1116,97.5003,normal
0.1119,0.3928,4.8621,65.7184,normal
0.0986,0.4185,4.9028,5.7583,normal
0.0839,0.3193,5.0488,11.6731,normal
0.1258,0.3082,5.2478,36.2415,normal
0.1164,0.3559,5.2912,41.7239,normal
0.1103,0.3097,5.1954,27.6407,normal
0.0925,0.3544,5.2323,25.2909,normal
0.0837,0.3846,5.215,26.7375,normal
0.053,0.3948,5.1712,24.736,normal
0.2298,0.5106,4.5208,9.2859,normal
0.0863,0.654,4.3113,8.0154,normal
0.1084,0.683,4.4645,18.6194,normal
0.0417,0.3592,5.0879,14.1984,normal
0.0466,0.4429,5.1298,16.6918,normal
0.2406,0.4001,5.1668,27.6721,normal
0.1936,0.4194,5.08,22.9171,normal
0.1159,0.4131,5.0464,19.2889,normal
0.1102,0.3848,5.2428,17.6839,normal
0.1182,0.3421,5.3216,20.4089,normal
0.1767,0.4259,5.203,23.492,normal
0.1748,0.4245,5.2046,23.4099,normal
0.1148,0.332,4.9878,19.2759,normal
0.1241,0.3389,5.167,18.0847,normal
0.7786,0.891,4.0956,25.658,bright
0.5244,0.8885,4.6951,34.9631,bright
0.6177,0.9009,4.4306,30.4349,bright
0.5519,0.8481,5.1138,36.2806,bright
0.6235,0.8799,4.7876,36.3211,bright
0.5428,0.8339,5.015,36.992,bright
0.3158,0.8491,5.0074,50.5831,bright
0.5378,0.9312,3.3808,29.2439,bright
0.5791,0.9166,4.0267,30.0819,bright
0.6799,0.9481,3.5828,23.3166,bright
0.7125,0.9423,3.5318,29.2855,bright
0.8816,0.9591,2.6992,2.3945,bright
0.5574,0.952,3.1087,14.395,bright
0.6847,0.9019,4.2116,17.2009,bright
0.7378,0.9018,3.9802,19.3608,bright
0.7191,0.9416,4.0006,36.1712,bright
0.6933,0.912,4.1621,19.4171,bright
0.7456,0.9204,3.9178,22.8786,bright
0.6717,0.9272,3.5366,16.0348,bright
0.7341,0.9258,3.7186,17.7887,bright
0.6923,0.9219,3.8806,22.4468,bright
0.7005,0.9164,3.9959,20.7774,bright
0.6981,0.9226,3.9829,19.173,bright
0.7772,0.9044,4.5415,22.4384,bright
0.8595,0.8953,4.3041,12.8118,bright
0.9194,0.934,3.8055,15.3507,bright
0.9118,0.9027,4.1944,17.5943,bright
0.8434,0.9697,2.3063,5.6239,bright
0.8579,0.9684,2.0642,5.1799,bright
0.835,0.9722,2.3966,5.5543,bright
0.6877,0.8997,4.2664,22.8644,bright
0.7114,0.8954,4.2943,22.7495,bright
0.7434,0.903,4.0534,26.959,bright
0.7952,0.8439,4.4096,6.4794,bright
0.7584,0.8482,3.4665,11.2761,bright
0.7111,0.9091,4.3114,60.5909,bright
0.6541,0.9119,4.2873,55.6866,bright
0.7707,0.9178,4.0019,60.8652,bright
0.8286,0.935,3.746,4.6251,bright
0.6027,0.8013,4.9007,21.5661,bright
0.744,0.8933,3.7689,17.7879,bright
0.7044,0.9182,3.7508,16.6088,bright
0.696,0.8761,3.8686,17.316,bright
0.7151,0.9036,4.0522,16.109,bright
0.7223,0.9173,4.0035,17.447,bright
0.7054,0.9267,3.6622,14.9092,bright
0.7171,0.9736,2.8172,9.9221,bright
0.5293,0.9748,2.4143,15.7533,bright
0.6323,0.9601,2.2147,31.7356,bright
0.574,0.8265,4.9378,12.4141,bright
0.3937,0.9559,3.6189,45.3664,bright
0.8076,0.9323,3.7717,27.7712,bright
0.7977,0.9403,3.6846,23.7432,bright
0.6396,0.9452,3.5438,17.2488,bright
0.6378,0.9345,3.8576,21.3013,bright
0.6826,0.9069,3.9074,19.8709,bright
0.7255,0.9323,3.9182,19.5363,bright
0.7251,0.9303,3.9607,19.555,bright
0.7685,0.8896,3.9564,16.9026,bright
0.7067,0.9044,4.0559,18.8481,bright
0.3393,0.8798,4.1258,24.5217,bright
0.0705,0.8782,4.7561,33.2792,bright
0.2156,0.8896,4.4442,29.6092,bright
0.2418,0.8351,5.0959,35.4654,bright
0.2364,0.861,4.7831,35.2834,bright
0.24,0.8277,4.9983,36.21,bright
0.0414,0.8499,5.0032,49.8714,bright
0.0508,0.9279,3.4547,28.6408,bright
0.0688,0.9117,4.0998,29.1542,bright
0.1378,0.9471,3.6196,22.592,bright
0.1563,0.9393,3.6053,28.4191,bright
